#AGGR_TYPE_CD,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,ACAD_GRAD_YEAR,REPORTING_ACAD_YR,GENDER,GRAD_COUNT,STUD_SAT_COUNT,UNEMP_RATE,EMP_RATE,EMP_FT_RATE,EMP_PT_RATE,JSD_RATE_FT_RLTD_1,JSD_RATE_FT_RLTD_2,JSD_RATE_FT_RLTD_3,JSD_RATE_FT_RLTD_4,JSD_RATE_FT_RLTD_5,ANN_SLRY_EMP_FT_RATE,ANN_CLRY_EMP_FT_RLTD_RATE,GRAD_SAT_RATE_AGG,IN_LF,STUD_SAT_RATE,GRADUATION_RATE,EMP_FT_REL_RATE
Cl,A,A11,2010-2011,2011-2012,T,106,157,22.5,77.5,47.5,27.5,12.5,27.5,42.5,82.5,97.5,37500,37500,77.5,92.5,87.5,N/A,32.5
Cl,A,A11,2012-2013,2013-2014,T,108,166,12.5,87.5,42.5,37.5,N/A,N/A,N/A,N/A,N/A,32500,32500,87.5,92.5,82.5,72.5,32.5
Cl,T,T15,2014-2015,2015-2016,T,109,348,22.5,77.5,57.5,7.5,7.5,27.5,42.5,87.5,97.5,32500,32500,77.5,82.5,67.5,57.5,42.5
Cl,B,B10,2013-2014,2014-2015,T,111,69,12.5,87.5,77.5,7.5,N/A,N/A,N/A,N/A,N/A,42500,47500,57.5,92.5,47.5,52.5,57.5
Cl,T,T08,2013-2014,2014-2015,T,114,222,22.5,82.5,72.5,2.5,N/A,N/A,N/A,N/A,N/A,47500,52500,77.5,82.5,72.5,72.5,62.5
Cl,A,A11,2013-2014,2014-2015,T,116,162,17.5,82.5,42.5,37.5,N/A,N/A,N/A,N/A,N/A,37500,42500,82.5,87.5,77.5,72.5,32.5
Cl,A,A06,2010-2011,2011-2012,T,123,166,17.5,82.5,72.5,12.5,27.5,62.5,72.5,82.5,97.5,27500,27500,82.5,67.5,82.5,N/A,42.5
Cl,T,T08,2014-2015,2015-2016,T,121,218,27.5,72.5,67.5,2.5,22.5,52.5,77.5,87.5,97.5,47500,52500,67.5,82.5,77.5,67.5,52.5
Cl,A,A06,2014-2015,2015-2016,T,122,167,22.5,77.5,52.5,17.5,2.5,22.5,32.5,82.5,97.5,32500,32500,97.5,67.5,77.5,67.5,32.5
Cl,B,B14,2014-2015,2015-2016,T,156,203,17.5,82.5,67.5,7.5,57.5,77.5,87.5,97.5,97.5,32500,37500,62.5,72.5,72.5,57.5,37.5
Cl,B,B14,2012-2013,2013-2014,T,165,337,22.5,77.5,57.5,12.5,N/A,N/A,N/A,N/A,N/A,32500,27500,72.5,82.5,77.5,57.5,32.5
Cl,B,B14,2013-2014,2014-2015,T,190,169,12.5,87.5,77.5,7.5,N/A,N/A,N/A,N/A,N/A,32500,32500,67.5,77.5,72.5,52.5,42.5
Cl,B,B14,2011-2012,2012-2013,T,204,328,12.5,87.5,67.5,12.5,52.5,67.5,67.5,82.5,97.5,27500,32500,67.5,67.5,82.5,52.5,37.5
Cl,B,B14,2010-2011,2011-2012,T,225,226,12.5,87.5,72.5,12.5,52.5,62.5,67.5,82.5,97.5,32500,37500,82.5,77.5,72.5,N/A,37.5
Cl,T,T16,2012-2013,2013-2014,T,226,485,12.5,87.5,77.5,2.5,N/A,N/A,N/A,N/A,N/A,37500,37500,82.5,87.5,77.5,62.5,62.5
Cl,B,B03,2014-2015,2015-2016,T,238,230,22.5,77.5,57.5,7.5,37.5,67.5,82.5,87.5,97.5,27500,32500,77.5,82.5,82.5,67.5,42.5
