S_MTCU,COLL_RGN_CD,COLL_CD,APSKey,APS_NAME,GRAD_OUT,STUD_SAT,GRAD_RATE
A-60200,GTA,GRBR,GRBR01279,Business Administration - Project Management,FALSE,TRUE,FALSE
A-60200,SW,FANS,FANS01281,Business Administration - Leadership & Management,TRUE,TRUE,FALSE
A-60200,GTA,GRBR,GRBR01293,Business Administration - Retail,FALSE,TRUE,FALSE
A-60201,GTA,SHER,SHER01074,Business Administration - Finance,TRUE,TRUE,TRUE
A-60201,SE,LACI,LACI01084,Business Administration - Financial Services,TRUE,TRUE,TRUE
A-60201,GTA,CENT,CENT01138,Financial Services,TRUE,FALSE,TRUE
A-60201,SW,STCL,STCL01166,Business Administration - Finance,TRUE,TRUE,TRUE
A-60201,GTA,GRBR,GRBR01196,Financial Services Management,FALSE,FALSE,TRUE
A-60201,GTA,GRBR,GRBR01242,Business Administration - Finance,TRUE,TRUE,TRUE
A-60201,SE,ALGO,ALGO01247,Business Administration - Financial Services,TRUE,TRUE,TRUE
A-60202,GTA,SENE,SENE01052,International Business Administration,TRUE,TRUE,TRUE
A-60202,GTA,CENT,CENT01115,Business Administration - International Business,TRUE,TRUE,TRUE
A-60202,SE,SSFL,SSFL01117,International Trade,TRUE,TRUE,TRUE
A-60202,CE,NIAG,NIAG01170,Business Administration - International Business,TRUE,TRUE,TRUE
A-60202,SW,STCL,STCL01198,Business Administration - International Business,TRUE,TRUE,FALSE
A-60202,GTA,HUMB,HUMB01200,Business Administration - International Business,TRUE,FALSE,FALSE
A-60202,GTA,GRBR,GRBR01277,Business Administration - International Business,FALSE,TRUE,FALSE
A-60202,SE,ALGO,ALGO01368,Business Administration - International Business,TRUE,TRUE,TRUE
A-60204,GTA,DURH,DURH01119,Business Administration - Professional Golf Management,TRUE,TRUE,TRUE
A-60204,CE,GEOR,GEOR01135,Business Administration - Professional Golf Management,TRUE,TRUE,TRUE
A-60204,CE,NIAG,NIAG01168,Business Administration - Professional Golf Management,TRUE,TRUE,TRUE
A-60204,SW,STCL,STCL01181,Business Administration - Professional Golf Management,TRUE,TRUE,TRUE
A-60204,GTA,HUMB,HUMB01264,Business Administration - Professional Golf Management,TRUE,TRUE,TRUE
A-60209,CE,MOHA,MOHA01031,Industrial Engineering Technology - Management,TRUE,TRUE,TRUE
A-60217,CE,NIAG,NIAG09000,Business Administration - Common,FALSE,TRUE,FALSE
A-60223,CE,NIAG,NIAG01008,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,SW,LAMB,LAMB01070,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,SE,SSFL,SSFL01088,Business Administration - Human Resources Management,TRUE,TRUE,TRUE
A-60223,GTA,DURH,DURH01089,Human Resources Management,TRUE,TRUE,TRUE
A-60223,SE,SLAW,SLAW01109,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,GTA,SHER,SHER01119,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,N,CONF,CONF01161,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,GTA,CENT,CENT01170,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,SW,STCL,STCL01171,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,GTA,SENE,SENE01177,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,CE,GEOR,GEOR01194,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,GTA,GRBR,GRBR01194,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,N,NORT,NORT01217,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,SE,ALGO,ALGO01219,Business Administration - Human Resources,TRUE,TRUE,TRUE
A-60223,SW,FANS,FANS01278,Business Administration - Human Resources,TRUE,TRUE,FALSE
A-60231,SE,LACI,LACI01103,Business Administration,TRUE,TRUE,TRUE
A-60243,GTA,HUMB,HUMB01075,Public Relations,TRUE,TRUE,TRUE
A-60243,GTA,DURH,DURH01075,Public Relations,TRUE,TRUE,TRUE
A-60243,N,CAMB,CAMB01127,Public Relations,TRUE,TRUE,TRUE
A-60261,CE,GEOR,GEOR01090,Aviation Management,TRUE,TRUE,TRUE
A-60262,GTA,SENE,SENE01285,Aviation Safety,TRUE,TRUE,FALSE
A-60272,GTA,SHER,SHER01200,E-commerce Management,TRUE,TRUE,TRUE
A-60500,GTA,DURH,DURH01004,Business Administration - Information Systems,FALSE,FALSE,TRUE
A-60500,N,NORT,NORT01005,Business Administration - Information Systems,TRUE,FALSE,FALSE
A-60500,SW,LAMB,LAMB01089,Business Administration - Information Systems,TRUE,FALSE,FALSE
A-60500,CE,GEOR,GEOR01105,Business Administration - Information Systems,TRUE,FALSE,TRUE
A-60500,GTA,SENE,SENE01215,Business Administration - Information Systems,TRUE,TRUE,TRUE
A-60503,GTA,CENT,CENT01015,Computer Programmer Analyst,TRUE,FALSE,TRUE
A-60503,GTA,SENE,SENE01024,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60503,CE,CONS,CONS01049,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60503,N,SAUL,SAUL01054,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60503,CE,GEOR,GEOR01062,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60503,N,CANA,CANA01071,Computer Programmer Analyst,TRUE,TRUE,FALSE
A-60503,CE,NIAG,NIAG01146,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60503,SE,SSFL,SSFL01157,Computer Programmer Analyst,TRUE,FALSE,FALSE
A-60503,SE,SLAW,SLAW01159,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60503,SW,STCL,STCL01165,Computer Programmer Analyst,FALSE,FALSE,TRUE
A-60503,GTA,GRBR,GRBR01170,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60503,GTA,DURH,DURH01175,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60503,SW,FANS,FANS01188,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60503,GTA,HUMB,HUMB01232,Computer Programmer Analyst,TRUE,FALSE,TRUE
A-60503,N,CAMB,CAMB01238,Computer Programmer Analyst,TRUE,TRUE,TRUE
A-60504,CE,CONS,CONS01172,Software Engineering Technology,TRUE,TRUE,TRUE
A-60504,GTA,CENT,CENT01211,Software Engineering Technology,TRUE,TRUE,TRUE
A-60504,GTA,CENT,CENT01215,Software Engineering Technology-interactive Gaming,TRUE,TRUE,TRUE
A-60505,GTA,SHER,SHER01017,Computer Systems Technology - Software Development And Network Engineering,TRUE,TRUE,TRUE
A-60505,GTA,DURH,DURH01027,Computer Systems Technology,TRUE,TRUE,TRUE
A-60505,GTA,CENT,CENT01057,Computer Systems Technology - Networking,TRUE,TRUE,TRUE
A-60505,GTA,SHER,SHER01109,Computer Systems Technolog - Systems Analyst,TRUE,TRUE,TRUE
A-60505,SW,STCL,STCL01129,Computer Systems Technology - Networking,TRUE,TRUE,TRUE
A-60505,CE,MOHA,MOHA01137,Computer Science Technology - Software Engineering,TRUE,TRUE,TRUE
