Variable Name (Nom de la variable),Description English,Description français,Code,Code Description English,Description du code français
,,,,,
#AGGR_TYPE_CD,Aggregation level of record,Niveau de l'enregistrement de l'agrégation,Cl,Occupational cluster,Groupe de programme 
,,,Co,College,Collège
,,,Dv,Occupational division,Le domaine d' études 
,,,Program,Program,Programme 
,,,Rg,Region,Région
,,,Sy,"System (i.e., province)",Système
,,,,,
S_MTCU,Program code,Code de programme,A-60100,Business Administration - Accounting,Administration des affaires - comptabilité
,,,A-62909,Fashion Merchandising - 3 year,Marchandisage de la mode - 3 ans,,,
,,,A-63002,Information Security Technology,Technologie de la sécurité de l'information,,,
,,,A-63003,Fire Protection Technology,Technologie de la protection contre les incendies,,,
,,,A-63107,Culinary Administration,Arts culinaires - administration,,,
,,,A-63111,Culinary Innovation and Food Technology,Innovation de la cuisine et la technologie de l'alimentation,,,
,,,A-63200,Hospitality Administration,Administration de l'accueil,,,
,,,A-63201,Hospitality And Tourism Administration,Administration de l'accueil et du tourisme,,,
,,,A-63204,Food And Nutrition Administration,Nourriture et alimentation - administration,,,
,,,A-63205,Tourism Management,Gestion touristique,,,
,,,A-63401,Esthetics and Spa Therapies,Thérapies d'esthétique et de spa,,,
,,,A-63700,Bio-food Technology,Technologie d'oenolgie,,,
,,,A-63702,Food Safety,Salubrité des aliments,,,
,,,A-63905,Landscape Design - 3 year,Architecture paysagiste - 3 ans,,,
,,,A-64203,Forestry Technology,Technologie forestière,,,
,,,A-64204,Forest Management Technology,Technologie de la gestion des forêts,,,
,,,A-64300,Manufacturing Technology - Wood Products,Technologie de la fabrication - produit du bois,,,
,,,A-64407,Geological Engineering Technology - 3 year,Technologie du génie géologique,,,
,,,A-64409,Metallurgical Engineering Technology,Technologie du génie métallurgique,,,
,,,A-64411,Mining Engineering Technology,Technologie du génie minier,,,
,,,A-64701,General Arts And Science - Advanced,Cours collégial général - avancé,,,
,,,A-64900,Welding Engineering Technology,Technologie du génie du soudage,,,
,,,A-65203,Electronics Engineering Technology,Technologie du génie électronique,,,
,,,A-65300,Mechanical Engineering Technology - Tool And Machine Design,Technologie du génie mécanique - conception d'outils et d'appareils d'usine,,,
,,,A-65500,"Heating, Air Conditioning And Refrigeration Technology","Technologie de chauffage, de climatisation et de réfrigération",,,
,,,A-65503,Energy Systems Engineering Technology,Technologie du génie des systèmes énergitiques,,,
,,,A-65613,Electrical Engineering Technology,Technologie du génie électrique,,,
,,,A-65700,Electronics Engineering Technology - Communications,Technologie du génie électronique-communications,,,
,,,A-65701,Broadcast Engineering Technology,Technologie en génie de diffusion générale,,,
,,,A-66301,Plastics Engineering Technology,Technologie du génie chimique - matières synthétiques,,,
,,,A-66600,Aviation Technology - Aircraft Maintenance,Technologie de l'aviation- entretien d.aéronefs,,,
,,,A-67000,Manufacturing Engineering Technology,Technologie du génie de la fabrication,,,
,,,A-67001,Chemical Production Engineering Technology,Technologie du génie des procédés opérationnels,,,
,,,A-67019,Aviation Engineering Technology,Technologie du génie de l'aviation,,,
