Variable Name (Nom de la variable),Code Decription English ,Description du code français
APSKey,Local Program Code,Code de programme local
APS_NAME,Local College Program Name,Noms des programmes des collèges locaux
GRAD_OUT,Graduate Outcomes Survey,Sondage sur la situation professionnelle et la satisfaction des diplômés
STUD_SAT,"KPI Student Satisfaction
and Engagement Survey","Sondage sur la satisfaction et l'engagement
des étudiantes et des étudiants."
GRAD_RATE,Graduation Rate,Taux d’obtention du diplôme
